ChIJPVdz8qrj9IgR02qGSGHB0tw,Basadena Realty Inc,33.626823,-84.481816,(404) 766-4804,4725 Kent Rd,College Park,30337,GA,United States
ChIJrY9i3h0P9YgRXZ4M7-F0wKg,Belle Isle Square,33.8901068,-84.380784,,4969 Roswell Rd   ,Sandy Springs,30342,GA,United States
ChIJRzHD-lD99IgRHEMlkAoqnio,Fairfield Inn & Suites Atlanta Airport North,33.6631692,-84.4298323,(404) 767-5374,1255 Walker Ave   ,East Point,30344,GA,United States
ChIJMyr4fE799IgR7D4e2YomSLk,Drury Inn & Suites Atlanta Airport,33.658185,-84.4310229,(404) 761-4900,1270 Virginia Ave   ,East Point,30344,GA,United States
ChIJzSisorEC9YgRgftezI5w3PE,Van Thompson Group,33.684561,-84.43168,(404) 407-3200,1312 Jefferson Ave   ,East Point,30344,GA,United States
ChIJHc_wC0799IgRANONcIkZq_U,Bristol Hotels & Resorts,33.6601666,-84.4318772,(404) 838-0021,1325 Virginia Ave   ,East Point,30344,GA,United States
ChIJGcs470399IgReR5gmIcTa1s,Motel 6 Atlanta Airport Hotel,33.6598755,-84.4339086,(404) 762-5111,1377 Virginia Ave   ,East Point,30344,GA,United States
ChIJyfZyS1Md9YgRBr5siuuChpY,Atlanta REO Brokers Inc,33.678301,-84.4384019,(404) 254-4722,1514 Cleveland Ave   ,East Point,30344,GA,United States
ChIJ40Q7AVkd9YgRyidBcQsTk0I,Woods Properties & Associates Inc,33.67527,-84.451605,(404) 762-9111,1921 Washington Ave   ,East Point,30344,GA,United States
ChIJIT1H5qbi9IgRsvFOUHAQw6A,Stella Royal Apartments,33.6688011,-84.4527119,(404) 761-8330,1944 Dunlap Ave   ,East Point,30344,GA,United States
ChIJTRi5yVgd9YgR61YCqNhSYfQ,Bingham Realty Co Inc,33.6738204,-84.4537124,(404) 767-8111,1986 Washington Ave   ,East Point,30344,GA,United States
ChIJeQp9MqMC9YgRXAnmY0jlGng,ATEEL PROPERTIES LLC,33.6816284,-84.4205702,(404) 209-7474,963 Cleveland Ave   ,East Point,30344,GA,United States
ChIJdZisS6MC9YgRb1skfQgAbNE,Frank Middlebrooks Realty,33.6816845,-84.4213751,(404) 767-3711,989 Cleveland Ave   ,East Point,30344,GA,United States
ChIJbfbdQ64C9YgR9Mvx04SSOdw,Efficiency Lodge,33.6806917,-84.4312835,(404) 559-1221,1295 Norman Berry Dr  ,East Point,30344,GA,United States
ChIJFS_ocVr99IgRwDcXAOkIjWg,Club Hotel,33.6632704,-84.4269123,(404) 762-0171,3400 Norman Berry Dr  ,East Point,30344,GA,United States
ChIJj2v4aFD99IgR_qP26OJk1m4,Hyatt Place Atlanta Airport-North,33.6618814,-84.4290109,(404) 768-8484,3415 Norman Berry Dr  ,East Point,30344,GA,United States
ChIJI7x6fBPi9IgR6U4NmoGGqSk,Strong Property Solutions LLC,33.6580907,-84.5034114,(770) 765-2495,3645 Marketplace Blvd   ,East Point,30344,GA,United States
ChIJP-6cXBPi9IgRtAB81yHIu2s,Vip Real Estate Solutions,33.6580907,-84.5034114,(678) 680-2091,3645 Marketplace Blvd   ,East Point,30344,GA,United States
ChIJP-6cXBPi9IgRuued5m4yhHU,ION THREE  INC,33.6580907,-84.5034114,(404) 964-3551,3645 Marketplace Blvd   ,East Point,30344,GA,United States
ChIJP-6cXBPi9IgRe_E7i2G6Y9c,Excel Brokers Inc,33.6580907,-84.5034114,(404) 344-5059,3645 Marketplace Blvd   ,East Point,30344,GA,United States
